time_s,sigma_MPa
1e-3,5.2632e-1
1.2518e-3,4.522e-1
1.5671e-3,3.7375e-1
1.9617e-3,2.9231e-1
2.4556e-3,2.0873e-1
3.074e-3,1.2358e-1
3.848e-3,3.73e-2
4.817e-3,-4.9786e-2
6.03e-3,-1.3741e-1
7.5484e-3,-2.2534e-1
9.4492e-3,-3.134e-1
1.1829e-2,-4.0139e-1
1.4807e-2,-4.8915e-1
1.8536e-2,-5.7652e-1
2.3203e-2,-6.6334e-1
2.9046e-2,-7.4943e-1
3.636e-2,-8.346e-1
4.5516e-2,-9.1867e-1
5.6978e-2,-1.0014e+0
7.1326e-2,-1.0825e+0
8.9287e-2,-1.1617e+0
1.1177e-1,-1.2386e+0
1.3992e-1,-1.3127e+0
1.7515e-1,-1.3833e+0
2.1925e-1,-1.4496e+0
2.7447e-1,-1.5104e+0
3.4359e-1,-1.5636e+0
4.301e-1,-1.6061e+0
5.3841e-1,-1.6312e+0
6.7402e-1,-1.6218e+0
8.4372e-1,-1.4853e+0
1.0558e+0,-1.0755e+0
1.3205e+0,-4.2055e-1
1.6519e+0,1.5287e-1
2.0659e+0,7.5861e-1
2.5703e+0,2.4122e+0
3.1481e+0,5.5581e+0
3.79e+0,9.6865e+0
4.5589e+0,1.3863e+1
5.4805e+0,1.8067e+1
6.602e+0,2.2165e+1
8.1209e+0,2.4999e+1
1.0024e+1,2.7551e+1
1.2327e+1,3.0409e+1
1.5044e+1,3.3796e+1
1.8126e+1,3.7891e+1
2.1967e+1,4.1688e+1
2.6845e+1,4.4985e+1
3.2874e+1,4.8152e+1
4.0225e+1,5.1368e+1
4.9729e+1,5.3771e+1
6.1983e+1,5.5199e+1
7.7407e+1,5.6261e+1
9.6831e+1,5.6842e+1
