time_s,T_degC
1e-3,6.521e+2
1.1436e-3,6.521e+2
1.3078e-3,6.521e+2
1.4956e-3,6.521e+2
1.7103e-3,6.521e+2
1.9558e-3,6.521e+2
2.2367e-3,6.52e+2
2.5578e-3,6.52e+2
2.9251e-3,6.52e+2
3.345e-3,6.52e+2
3.8253e-3,6.52e+2
4.3746e-3,6.519e+2
5.0027e-3,6.519e+2
5.721e-3,6.519e+2
6.5424e-3,6.519e+2
7.4818e-3,6.519e+2
8.556e-3,6.519e+2
9.7845e-3,6.518e+2
1.1189e-2,6.518e+2
1.2796e-2,6.518e+2
1.4633e-2,6.518e+2
1.6734e-2,6.518e+2
1.9137e-2,6.518e+2
2.1885e-2,6.518e+2
2.5027e-2,6.518e+2
2.862e-2,6.518e+2
3.2729e-2,6.518e+2
3.7429e-2,6.518e+2
4.2803e-2,6.518e+2
4.8948e-2,6.518e+2
5.5976e-2,6.518e+2
6.4014e-2,6.518e+2
7.3204e-2,6.518e+2
8.3714e-2,6.519e+2
9.5733e-2,6.519e+2
1.0948e-1,6.52e+2
1.252e-1,6.521e+2
1.4317e-1,6.524e+2
1.6372e-1,6.527e+2
1.8722e-1,6.53e+2
2.1409e-1,6.534e+2
2.4482e-1,6.536e+2
2.7997e-1,6.537e+2
3.2017e-1,6.537e+2
3.6614e-1,6.537e+2
4.1871e-1,6.537e+2
4.7882e-1,6.539e+2
5.4756e-1,6.541e+2
6.2612e-1,6.537e+2
7.1509e-1,6.52e+2
8.1582e-1,6.496e+2
9.3031e-1,6.471e+2
1.0608e+0,6.445e+2
1.2093e+0,6.418e+2
1.378e+0,6.389e+2
1.5694e+0,6.358e+2
1.7853e+0,6.323e+2
2.0135e+0,6.268e+2
2.2497e+0,6.198e+2
2.4997e+0,6.12e+2
2.7613e+0,6.036e+2
3.0412e+0,5.948e+2
3.3358e+0,5.857e+2
3.6302e+0,5.76e+2
3.9361e+0,5.66e+2
4.2603e+0,5.558e+2
4.6002e+0,5.455e+2
4.9559e+0,5.35e+2
5.3223e+0,5.244e+2
5.7041e+0,5.136e+2
6.0932e+0,5.027e+2
6.468e+0,4.914e+2
6.8462e+0,4.801e+2
7.2351e+0,4.686e+2
7.629e+0,4.57e+2
8.0359e+0,4.455e+2
8.4608e+0,4.339e+2
8.9051e+0,4.222e+2
9.3681e+0,4.106e+2
9.8528e+0,3.99e+2
1.0361e+1,3.873e+2
1.0894e+1,3.756e+2
1.1451e+1,3.64e+2
1.2032e+1,3.523e+2
1.2633e+1,3.406e+2
1.3255e+1,3.288e+2
1.3883e+1,3.17e+2
1.4486e+1,3.051e+2
1.5098e+1,2.932e+2
1.5751e+1,2.812e+2
1.6495e+1,2.694e+2
1.7324e+1,2.577e+2
1.8208e+1,2.461e+2
1.9132e+1,2.344e+2
2.0089e+1,2.227e+2
2.1083e+1,2.11e+2
2.2065e+1,1.991e+2
2.2948e+1,1.871e+2
2.383e+1,1.751e+2
2.4786e+1,1.63e+2
2.5967e+1,1.513e+2
2.7413e+1,1.398e+2
2.9027e+1,1.284e+2
3.0806e+1,1.171e+2
3.2789e+1,1.06e+2
3.4994e+1,9.5e+1
3.7532e+1,8.428e+1
4.0505e+1,7.394e+1
4.3797e+1,6.372e+1
4.7319e+1,5.345e+1
5.0931e+1,4.294e+1
5.5603e+1,3.351e+1
6.2657e+1,2.785e+1
7.1077e+1,2.355e+1
8.0846e+1,2.005e+1
9.2084e+1,1.7e+1
