z_mm,sigma_MPa
-2e+0,-8.4578e+1
-1.977e+0,-8.1889e+1
-1.954e+0,-7.9197e+1
-1.932e+0,-7.6502e+1
-1.909e+0,-7.3807e+1
-1.887e+0,-7.1111e+1
-1.864e+0,-6.8415e+1
-1.841e+0,-6.5719e+1
-1.819e+0,-6.3024e+1
-1.796e+0,-6.033e+1
-1.773e+0,-5.7637e+1
-1.751e+0,-5.4946e+1
-1.728e+0,-5.2257e+1
-1.705e+0,-4.9572e+1
-1.682e+0,-4.689e+1
-1.659e+0,-4.4215e+1
-1.635e+0,-4.1549e+1
-1.611e+0,-3.8899e+1
-1.587e+0,-3.6274e+1
-1.561e+0,-3.3668e+1
-1.536e+0,-3.1079e+1
-1.51e+0,-2.8503e+1
-1.484e+0,-2.5942e+1
-1.457e+0,-2.3398e+1
-1.43e+0,-2.0886e+1
-1.401e+0,-1.8418e+1
-1.372e+0,-1.5975e+1
-1.343e+0,-1.3545e+1
-1.314e+0,-1.1118e+1
-1.284e+0,-8.6832e+0
-1.255e+0,-6.2505e+0
-1.226e+0,-3.8327e+0
-1.196e+0,-1.4538e+0
-1.164e+0,8.4118e-1
-1.131e+0,3.0925e+0
-1.098e+0,5.3254e+0
-1.065e+0,7.5593e+0
-1.032e+0,9.805e+0
-9.991e-1,1.2026e+1
-9.647e-1,1.4175e+1
-9.278e-1,1.6153e+1
-8.897e-1,1.8031e+1
-8.509e-1,1.9856e+1
-8.115e-1,2.1635e+1
-7.716e-1,2.3359e+1
-7.312e-1,2.5042e+1
-6.904e-1,2.6686e+1
-6.49e-1,2.8274e+1
-6.065e-1,2.9735e+1
-5.626e-1,3.1026e+1
-5.181e-1,3.223e+1
-4.731e-1,3.3373e+1
-4.278e-1,3.4456e+1
-3.822e-1,3.5487e+1
-3.363e-1,3.6453e+1
-2.897e-1,3.7304e+1
-2.422e-1,3.788e+1
-1.94e-1,3.821e+1
-1.457e-1,3.8439e+1
-9.731e-2,3.8609e+1
-4.889e-2,3.8742e+1
-4.509e-4,3.8832e+1
4.801e-2,3.8852e+1
9.643e-2,3.8743e+1
1.445e-1,3.8373e+1
1.922e-1,3.7832e+1
2.396e-1,3.721e+1
2.869e-1,3.6527e+1
3.338e-1,3.5775e+1
3.802e-1,3.4896e+1
4.262e-1,3.393e+1
4.718e-1,3.2904e+1
5.171e-1,3.1812e+1
5.617e-1,3.063e+1
6.06e-1,2.9387e+1
6.497e-1,2.8077e+1
6.925e-1,2.6642e+1
7.329e-1,2.4961e+1
7.721e-1,2.3169e+1
8.11e-1,2.1354e+1
8.506e-1,1.96e+1
8.907e-1,1.7888e+1
9.307e-1,1.6161e+1
9.699e-1,1.4373e+1
1.007e+0,1.2413e+1
1.042e+0,1.0329e+1
1.077e+0,8.1929e+0
1.111e+0,6.0212e+0
1.144e+0,3.807e+0
1.177e+0,1.5585e+0
1.209e+0,-7.3251e-1
1.239e+0,-3.1083e+0
1.268e+0,-5.547e+0
1.297e+0,-8.01e+0
1.325e+0,-1.0485e+1
1.353e+0,-1.2969e+1
1.381e+0,-1.547e+1
1.408e+0,-1.7979e+1
1.436e+0,-2.0499e+1
1.463e+0,-2.3026e+1
1.49e+0,-2.5558e+1
1.516e+0,-2.8106e+1
1.542e+0,-3.0686e+1
1.567e+0,-3.3319e+1
1.59e+0,-3.5983e+1
1.613e+0,-3.8659e+1
1.636e+0,-4.1345e+1
1.659e+0,-4.4036e+1
1.682e+0,-4.6733e+1
1.704e+0,-4.9442e+1
1.725e+0,-5.2174e+1
1.747e+0,-5.4911e+1
1.768e+0,-5.764e+1
1.791e+0,-6.0332e+1
1.815e+0,-6.2973e+1
1.839e+0,-6.5603e+1
1.864e+0,-6.8246e+1
1.886e+0,-7.0951e+1
1.907e+0,-7.3706e+1
1.927e+0,-7.6467e+1
1.949e+0,-7.9192e+1
1.972e+0,-8.1887e+1
1.994e+0,-8.4578e+1
