time_s,sigma_MPa
9.8403e-4,-5.2632e-1
1.2297e-3,2.1142e-1
1.5368e-3,9.4754e-1
1.9213e-3,1.5395e+0
2.4036e-3,1.6681e+0
3.0071e-3,1.588e+0
3.7622e-3,1.6181e+0
4.7066e-3,1.7983e+0
5.8863e-3,2.1981e+0
7.3534e-3,3.0406e+0
9.1837e-3,3.9589e+0
1.1479e-2,4.6384e+0
1.4352e-2,5.1932e+0
1.7933e-2,5.9539e+0
2.2367e-2,7.1675e+0
2.7883e-2,8.4733e+0
3.4789e-2,9.6157e+0
4.3427e-2,1.0655e+1
5.4195e-2,1.1749e+1
6.7561e-2,1.3055e+1
8.4278e-2,1.4235e+1
1.0536e-1,1.4814e+1
1.3173e-1,1.539e+1
1.6444e-1,1.6413e+1
2.0559e-1,1.6866e+1
2.5708e-1,1.6412e+1
3.199e-1,1.4839e+1
3.9717e-1,1.2938e+1
4.9362e-1,1.117e+1
6.1141e-1,9.0134e+0
7.5372e-1,6.3987e+0
9.2527e-1,3.4552e+0
1.1297e+0,1.3358e-1
1.3821e+0,-3.0594e+0
1.688e+0,-6.353e+0
2.0156e+0,-1.0813e+1
2.3802e+0,-1.572e+1
2.7953e+0,-2.082e+1
3.2636e+0,-2.611e+1
3.773e+0,-3.1691e+1
4.374e+0,-3.7192e+1
5.1508e+0,-4.2198e+1
6.0426e+0,-4.7329e+1
7.0257e+0,-5.2746e+1
8.3184e+0,-5.7522e+1
1.0063e+1,-6.1382e+1
1.1881e+1,-6.625e+1
1.3738e+1,-7.1827e+1
1.6054e+1,-7.7086e+1
1.8818e+1,-8.2249e+1
2.1971e+1,-8.7539e+1
2.5591e+1,-9.2903e+1
2.9596e+1,-9.8474e+1
3.4803e+1,-1.0351e+2
4.1807e+1,-1.0771e+2
5.0826e+1,-1.1129e+2
6.2428e+1,-1.1418e+2
7.7532e+1,-1.1602e+2
9.6831e+1,-1.1579e+2
