time_s,T_degC
9.6755e-4,6.49e+2
1.1052e-3,6.481e+2
1.2624e-3,6.471e+2
1.442e-3,6.463e+2
1.6477e-3,6.459e+2
1.8827e-3,6.462e+2
2.151e-3,6.467e+2
2.4576e-3,6.473e+2
2.8082e-3,6.475e+2
3.2088e-3,6.476e+2
3.6666e-3,6.476e+2
4.1898e-3,6.475e+2
4.7874e-3,6.472e+2
5.4703e-3,6.469e+2
6.2501e-3,6.464e+2
7.1388e-3,6.454e+2
8.1485e-3,6.439e+2
9.2989e-3,6.421e+2
1.0613e-2,6.404e+2
1.2119e-2,6.392e+2
1.3844e-2,6.384e+2
1.5815e-2,6.376e+2
1.8063e-2,6.366e+2
2.0622e-2,6.351e+2
2.3537e-2,6.335e+2
2.686e-2,6.317e+2
3.0647e-2,6.299e+2
3.4966e-2,6.28e+2
3.989e-2,6.261e+2
4.5506e-2,6.241e+2
5.1908e-2,6.221e+2
5.9204e-2,6.2e+2
6.7516e-2,6.178e+2
7.6977e-2,6.156e+2
8.772e-2,6.13e+2
9.989e-2,6.102e+2
1.137e-1,6.072e+2
1.2938e-1,6.041e+2
1.4717e-1,6.009e+2
1.6737e-1,5.976e+2
1.9025e-1,5.941e+2
2.1602e-1,5.903e+2
2.4466e-1,5.858e+2
2.7694e-1,5.812e+2
3.1414e-1,5.771e+2
3.5684e-1,5.735e+2
4.0524e-1,5.697e+2
4.5954e-1,5.655e+2
5.2069e-1,5.612e+2
5.8902e-1,5.564e+2
6.6326e-1,5.507e+2
7.4409e-1,5.444e+2
8.3371e-1,5.378e+2
9.339e-1,5.313e+2
1.0468e+0,5.248e+2
1.1731e+0,5.183e+2
1.3142e+0,5.118e+2
1.4711e+0,5.051e+2
1.6454e+0,4.983e+2
1.8395e+0,4.915e+2
2.0542e+0,4.844e+2
2.2889e+0,4.771e+2
2.537e+0,4.692e+2
2.8025e+0,4.609e+2
3.0892e+0,4.523e+2
3.3973e+0,4.436e+2
3.7201e+0,4.344e+2
4.0624e+0,4.25e+2
4.4302e+0,4.155e+2
4.8266e+0,4.06e+2
5.2549e+0,3.963e+2
5.7154e+0,3.866e+2
6.2048e+0,3.768e+2
6.7061e+0,3.666e+2
7.2026e+0,3.561e+2
7.7121e+0,3.454e+2
8.2382e+0,3.345e+2
8.7666e+0,3.234e+2
9.2933e+0,3.122e+2
9.8383e+0,3.009e+2
1.0413e+1,2.896e+2
1.1024e+1,2.783e+2
1.1664e+1,2.67e+2
1.2356e+1,2.557e+2
1.3156e+1,2.447e+2
1.4081e+1,2.339e+2
1.5079e+1,2.232e+2
1.6101e+1,2.123e+2
1.7019e+1,2.01e+2
1.7881e+1,1.894e+2
1.8794e+1,1.778e+2
1.9889e+1,1.665e+2
2.1147e+1,1.554e+2
2.251e+1,1.443e+2
2.3953e+1,1.333e+2
2.5405e+1,1.221e+2
2.6906e+1,1.108e+2
2.8566e+1,9.962e+1
3.0611e+1,8.895e+1
3.3073e+1,7.877e+1
3.5882e+1,6.888e+1
3.9166e+1,5.946e+1
4.2999e+1,5.054e+1
4.7484e+1,4.22e+1
5.2791e+1,3.461e+1
5.8934e+1,2.756e+1
6.6348e+1,2.189e+1
7.5461e+1,1.864e+1
8.6086e+1,1.678e+1
9.8364e+1,1.7e+1
