z_mm,T_degC
-2e+0,6.5e+2
-1.952e+0,6.5e+2
-1.904e+0,6.5e+2
-1.856e+0,6.5e+2
-1.808e+0,6.5e+2
-1.76e+0,6.5e+2
-1.712e+0,6.5e+2
-1.664e+0,6.5e+2
-1.616e+0,6.5e+2
-1.567e+0,6.5e+2
-1.519e+0,6.5e+2
-1.471e+0,6.5e+2
-1.423e+0,6.5e+2
-1.375e+0,6.5e+2
-1.327e+0,6.5e+2
-1.279e+0,6.5e+2
-1.231e+0,6.5e+2
-1.183e+0,6.5e+2
-1.135e+0,6.5e+2
-1.087e+0,6.5e+2
-1.039e+0,6.5e+2
-9.908e-1,6.5e+2
-9.427e-1,6.5e+2
-8.947e-1,6.5e+2
-8.466e-1,6.5e+2
-7.985e-1,6.5e+2
-7.505e-1,6.5e+2
-7.024e-1,6.5e+2
-6.544e-1,6.5e+2
-6.063e-1,6.5e+2
-5.582e-1,6.5e+2
-5.102e-1,6.5e+2
-4.621e-1,6.5e+2
-4.141e-1,6.5e+2
-3.66e-1,6.5e+2
-3.18e-1,6.5e+2
-2.699e-1,6.5e+2
-2.218e-1,6.5e+2
-1.738e-1,6.5e+2
-1.257e-1,6.5e+2
-7.767e-2,6.5e+2
-2.961e-2,6.5e+2
1.845e-2,6.5e+2
6.651e-2,6.5e+2
1.146e-1,6.5e+2
1.626e-1,6.5e+2
2.107e-1,6.5e+2
2.587e-1,6.5e+2
3.068e-1,6.5e+2
3.549e-1,6.5e+2
4.029e-1,6.5e+2
4.51e-1,6.5e+2
4.99e-1,6.5e+2
5.471e-1,6.5e+2
5.952e-1,6.5e+2
6.432e-1,6.5e+2
6.913e-1,6.5e+2
7.393e-1,6.5e+2
7.874e-1,6.5e+2
8.354e-1,6.5e+2
8.835e-1,6.5e+2
9.316e-1,6.5e+2
9.796e-1,6.5e+2
1.028e+0,6.5e+2
1.076e+0,6.5e+2
1.124e+0,6.5e+2
1.172e+0,6.5e+2
1.22e+0,6.5e+2
1.268e+0,6.5e+2
1.316e+0,6.5e+2
1.364e+0,6.5e+2
1.412e+0,6.5e+2
1.46e+0,6.5e+2
1.508e+0,6.5e+2
1.556e+0,6.5e+2
1.604e+0,6.5e+2
1.652e+0,6.5e+2
1.7e+0,6.5e+2
1.749e+0,6.5e+2
1.797e+0,6.5e+2
1.845e+0,6.5e+2
1.893e+0,6.5e+2
1.941e+0,6.5e+2
1.989e+0,6.5e+2
