FEM vs Aronen & Karvinen (2018) — Error Report
b=4.0mm  T0=650C  h=450 W/m2K
Nt=100000  dt=0.001s  N_NODES=29

Metric                              Surface    Mid-plane
────────────────────────────────────────────────────────
  residual_fem_MPa                  -124.14        51.50
  residual_paper_MPa                -116.35        54.67
  residual_error_%                    -6.70        -5.79
  peak_fem_MPa                      -124.14        51.50
  peak_paper_MPa                    -116.49        55.23
  peak_error_%                        -6.57        -6.75
  MAE_MPa                              9.18         1.78
  RMSE_MPa                            13.33         2.56
  max_abs_error_MPa                   36.07        10.88
